Course Code,Course Title,Prerequisite Code,Prerequisite Title,,,,,,,,,,,,,,,,,,,,,,,,,
UNR1403,Academic English,-,None,,,,,,,,,,,,,,,,,,,,,,,,,
UNR1302,Fundamentals of Business,-,None,,,,,,,,,,,,,,,1/23,,,   None,,,,,,,
UNRxxxx,University Req. Elective,-,None,,,,,,,,,,,,,,,1/23,,,   None,,,,,,,
EBA1203,Calculus I,-,None,,,,,,,,,,,,,,,1/23,,,   None,,,,C ,,,
EBA1110,Physics,-,None,,,,,,,,,,,,,,,,,,,,,,A+,,,
CCS1101,Introduction to Computing,-,None,,,,,,,,,,,,,,,1/23,,,   None,,,,B-,,,
CIS1000,Introduction to Information Systems,-,None,,,,,,,,,,,,,,,1/23,,,   None,,,,B-,,,
EBA0201 *,Precalculus,-,None,,,,,,,,,,,,,,,1/23,,,GLA0001,,,,B ,,,
GLA0001 *,Remedial English,-,None,,,,,,,,,,,,,,,,,,,,,,,,,
UNR1407, Academic Writing,UNR1403,,,,,,,,,,,,,,,,,,,,,,,,,,
UNR2101,Communication and Presentation Skills,UNR1403,Academic English,,,,,,,,,,,,,,,,,,,,,,,,,
EBA1204,Calculus II,EBA1203,Calculus I,,,,,,,,,,,,,,,,,,,,,,,,,
EBAxxxx,Science Elective,-,None,,,,,,,,,,,,,,,,,,,,,,,,,
CCS1001,Discrete Structures,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,,,,,,,,
CCS1302,Problem Solving and Programming,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2102,Digital Logic Design,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2103,Introduction to Computer Architecture,CCS2102,Digital Logic Design,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2303,Object-Oriented Programming,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,,,,,,,,
EBA2204,Linear algebra,EBA1204,Calculus II,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2201,Introduction to Networks,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,,,,,,,,
CIS2101,Database Systems,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,,,,,,,,
EBA2203,Probability & Statistics,EBA1204,Calculus II,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2401,Data Structures and Algorithms,CCS2303,Object Oriented Programming,,,,,,,,,,,,,,,,,,,,,,,,,
CSE2001,Introduction to Software Engineering,"CCS2303,CIS1000","Object Oriented Programming, Introduction to IS",,,,,,,,,,,,,,,,,,,,,,,,,
CCS2304,Advanced Programming Applications,CCS2303,Object Oriented Programming,,,,,,,,,,,,,,,,,,,,,,,,,
CCS2305,Web Programming,CIS2101,Database Systems,,,,,,,,,,,,,,,,,,,,,,,,,
CCY2001,Introduction to Cybersecurity,CCS2201,Introduction to Networks,,,,,,,,,,,,,,,,,,,,,,,,,
CNC1401,Entrepreneurship Skills,15 CR. or more,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3101,Introduction to Artificial Intelligence,"CCS1001,CCS2401","Discrete Structures, Data Structures",,,,,,,,,,,,,,,,,,,,,,,,,
EBA3201,Advanced statistics,EBA2203,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3401,fundamentals of robotics ,EBA2204,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3002,mathematical foundations for al ,"EBA2203,EBA2204",,,,,,,,,,,,,,,,,,,,,,,,,,
CCS3203,Operating Systems,"CCS2103,CCS2401","Introduction to Computer Architecture, Data Structures",,,,,,,,,,,,,,,,,,,,,,,,,
CIT3200,Professional Training in Mobile Apps Programming,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3103,deep learning,CAI3101,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3105,advanced artificial intelligence  ,CAI3101,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS3403,Computing Algorithms,CCS2401,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI3101,introduction to data analytics  ,"CIS2101,EBA2203",,,,,,,,,,,,,,,,,,,,,,,,,,
CCS4004,optimization techniques,"EBA2204,CCS1302",,,,,,,,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training I,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CAI4201,natural language processing  ,CAI3103,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS4505,digital image processing ,"CCS2401,EBA2204",,,,,,,,,,,,,,,,,,,,,,,,,,
CCS4901,Project I,93 CR or more,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training II,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS4204,Computer System Security,"CCS3203,CCY2001",,,,,,,,,,,,,,,,,,,,,,,,,,
CAI4301,computer vision,"CAI3103,CCS4505",,,,,,,,,,,,,,,,,,,,,,,,,,
CCS4902,Project II,CCS4901,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training III,-,,,,,,,,,,,,,,,,,,,,,,,,,,
