Course Code,Course Title,Prerequisite Code,Prerequisite Title
UNR1403,Academic English,-,None
UNR1302,Fundamentals of Business,-,None
UNRxxxx,University Req. Elective,-,None
EBA1203,Calculus I,-,None
EBA1110,Physics,-,None
CCS1101,Introduction to Computing,-,None
CIS1000,Introduction to Information Systems,-,None
EBA0201 *,Precalculus,-,None
GLA0001 *,Remedial English,-,None
UNR2101,Communication and Presentation Skills,UNR1403,Academic English
EBA1204,Calculus II,EBA1203,Calculus I
EBAxxxx,Science Elective,-,None
CCS1001,Discrete Structures,CCS1101,Introduction to Computing
CCS1302,Problem Solving and Programming,CCS1101,Introduction to Computing
CCS2102,Digital Logic Design,CCS1101,Introduction to Computing
CCS2103,Introduction to Computer Architecture,CCS1102,Digital Logic Design
CCS2303,Object-Oriented Programming,CCS1302,Problem Solving and Programming
EBA2204,Linear algebra,EBA1204,Calculus II
CCS2201,Introduction to Networks,CCS1302,Problem Solving and Programming
CIS2101,Database Systems,CCS1302,Problem Solving and Programming
EBA2203,Probability & Statistics,EBA1204,Calculus II
CCS2401,Data Structures and Algorithms,CCS2303,Object Oriented Programming
CSE2001,Introduction to Software Engineering,"CCS2303,CIS1000","Object Oriented Programming, Introduction to IS"
CCS2304,Advanced Programming Applications,CCS2303,Object Oriented Programming
CCS2305,Web Programming,CIS2101,Database Systems
CCY2001,Introduction to Cybersecurity,CCS2201,Introduction to Networks
UNR4201,Professional Ethics and Practice Law,30 CR. or more,
CNC1401,Entrepreneurship Skills,15 CR. or more,
CCS3601,Introduction to Artificial Intelligence,"CCS1001,CCS2401","Discrete Structures, Data Structures"
UNR1407, Academic Writing,UNR1403,
CCS3203,Operating Systems,"CCS2103,CCS2401",
CGM3101,Multimedia Fundamentals,CIS1000,
CCS3501,Computer Graphics,"CCS2401,EBA2204",
CSE3402,Project Management,CSE2001,
CIT3200,Professional Training in Mobile Apps Programming,-,
CGM3201,Multimedia Production,CGM3101,
CCS4505,Digital Image Processing,"CCS2401,EBA2204",
CCS4502,Human Computer Interaction,CSE2001,
CGM3001,3D Modeling,CGM3101,
CCS4308,Game Programming,"CCS2303,CCS3501",
CITxxxx,Professional Training I,-,
CGM4002,Digital Lighting & Rendering,CGM3001,
CGM4004,Extended Reality,CCS3501,
CGM4901,Project I,90 Cr. or more,
CGM4XXX,Major Elective,-,
CGM4XXX,Major Elective,-,
CITxxxx,Professional Training II,-,
CCS4204,Computer System Security,"CCS3203,CCY2001",
CGM4003,Computer Animation,CGM4002,
CGM4902,Project II,CGM4901,
CGM4XXX,Major Elective,-,
CGM4XXX,Major Elective,-,
CITxxxx,Professional Training III,-,
