Course Code,Course Title,Prerequisite Code
UNR1402,Arabic Language,-
UNR1404,French Language,-
UNR1405,German Language,-
UNR1406,Spanish Language,-
UNR1501,Art Appreciation,-
UNR1502,History of Egyptian Art,-
UNR1503,Music and Civilization,-
UNR2504,Introduction to Photography,-
UNR2505,Introduction to Cinematography,-
UNR1102,Creativity and Innovation,-
UNR1601,Climate Change and Water Management,-
UNR1602,Sustainable Development,-
UNR2603,Environmental Sciences & Technology,-
UNR2604,Safety and Risk Assessment,-
