Course Code,Course Title,Prerequisite Code,,,,,,,
CAI4602,ai ethics and society                   ,CAI3101,,,,,,,
CAI4107,reinforcement learning and decision maki,CAI3103,,,,,,,
CCS4210,high performance computing              ,CCS3203,,,,,,,
CAI4703,evolutionary algorithms and swarm intell,CAI3101,,,,,,,
CAI4106,explainable ai (xai)                    ,CAI3101,,,,,,,
CAI4202,natural language generation (nlg)       ,CAI4201,,,,,,,
CAI4108,generative models and adversarial networ,CAI3103,,,,,,,
CAI4109,federated learning                      ,CAI3101,,,,,,,
CAI4702,iot and ai integration                  ,"CAI3101,CCS2201",,,,,,,
CCY4303,ai in cybersecurity                     ,"CCY2001,CAI3101",,,,,,,
CAI4501,human-robot interaction                 ,"CAI3101,CAI3401",,,,,,,
CAI4406,game theory and ai                      ,"CAI3101,EBA1204",,,,,,,
CAI4704,ai in bioinformatics                    ,"CAI3101,EBA2203",,,,,,,
CAI4701,ai in healthcare                        ,"CAI3101,EBA2203",,,,,,,
CIS4103,big data analytics                      ,"EBA2203,CAI3101",,,,,,,
,,,,,,,,,
